# k (h/Mpc)           P(k) (Mpc/h)^3        P_upper(k) (Mpc/h)^3
0.314538939803531     782.978794189102      1044.1190029805    
0.503878214077747     311.709472358012      392.41897584845    
0.694801048439344     237.137370566165      290.06811986931    
0.898438537234903     118.850222743701      137.24609610075    
1.077849537075745     49.4026220765859      57.876198834912    
1.279312797054113     60.4296390238132      77.179151558501    
1.470421555091076     26.9929282315429      33.017941976827    
1.672075232448096     23.7137370566165      29.853826189179    
1.841264920264144     18.5673532463070      23.713737056616    
2.049405545237349     11.5478198468945      15.179239032493    
2.232735148777283     11.3828234525403      15.179239032493    
2.432464504729435     7.60764081926270      10.746078283213    
2.621830740375804     7.39179646555459      9.7162795157710    
2.795835582966356     5.95662143529009      9.7162795157710    
3.013490088840178     6.87859912308808      11.547819846894    
3.426760253433158     6.97830584859866      12.589254117941    
3.615259990110488     3.39820832894255      5.3088444423098    
